sourceCurrency,targetCurrency,sourceAmount
GEL,EUR,32754.62
ARS,CAD,63.75
HUF,AUD,5446.28
BYN,CAD,1088.41
PHP,BDT,27875.46
CNY,MDL,1154.11
CNY,MXN,9.45
VES,EUR,3524.74
DKK,CAD,3858.42
BGN,KZT,104.05
GBP,COP,13.5
ILS,CHF,411.38
LBP,CNY,2016.58
RON,ZAR,3153.06
TZS,CLP,496.84
JPY,VUV,36995.39
TND,CAD,8.02
EUR,MYR,315.7
CNY,GHS,34.43
LKR,CHF,4157.02
BHD,AUD,2694.59
AUD,CLP,276990.18
NZD,EUR,26.63
JOD,TOP,45.49
ALL,EUR,48.13
GBP,VES,2456.67
BYN,CAD,44.63
JOD,NZD,35.68
CAD,HRK,1667.75
RSD,SEK,69935.67
CAD,PHP,288.22
BOB,AUD,173.01
QAR,OMR,708.12
CNY,UYU,18235.36
BYN,CNY,285.35
INR,UGX,43.78
JOD,AZN,38334.02
RSD,EUR,140.27
ZAR,PKR,493.66
HKD,CAD,29.41
AMD,USD,39.22
MAD,GBP,70.49
OMR,BRL,524173.38
USD,AED,38187.64
CHF,AUD,24818.2
INR,EUR,294.62
TND,GBP,114.24
GBP,RON,6004.05
CHF,TND,104.12
UGX,CHF,37.67
CAD,ARS,4.8
CHF,CAD,122501.37
RSD,AUD,187.14
USD,BOB,29.59
GHS,IDR,3286.13
PLN,EUR,332.47
TRY,CAD,31578.09
ARS,HKD,2779.68
NZD,PLN,735.82
VES,CAD,11.52
VND,CHF,458.8
ALL,PYG,12.87
EUR,KZT,38558.3
UYU,CNY,364.17
CHF,NZD,36.15
IRR,UYU,68.97
JPY,WST,194.19
EUR,TND,416.93
DZD,AUD,2361.35
MKD,CAD,41.72
VUV,WST,35161.08
CNY,JOD,31.73
USD,CNY,37.41
JPY,VUV,16.13
HRK,USD,423.97
VND,NOK,41129.76
USD,AED,374.32
CHF,TOP,38.3
PEN,USD,870.68
AUD,JPY,3723.04
AZN,CAD,896.7
EUR,GEL,4400.16
GBP,BRL,453.81
GBP,PLN,9886.1
QAR,ILS,493.18
NGN,AUD,31.19
TRY,JPY,43950.4
CNY,GHS,495.01
CHF,DZD,26.17
TOP,GBP,402.76
BGN,INR,365429.46
JPY,HUF,2653.57
CNY,SAR,30052.65
JPY,CAD,92.06
CAD,VND,1707.97
UZS,JPY,162.58
CNY,IDR,14588.88
TOP,AUD,3853.63
ETB,RUB,4974.24
GBP,UGX,3981.08
EUR,TND,362.91
GEL,AUD,17.54
INR,EUR,11.57
MYR,COP,396.44
KES,MXN,439.56
CAD,NOK,144.3
JPY,VUV,372.88
EUR,TZS,25.62
KES,HUF,21.49
GBP,EUR,346.45
TWD,GBP,16.15
CNY,TMT,14.28
KWD,AUD,32.33
CHF,GHS,3676.84
ETB,AUD,117.19
EGP,GBP,3.0
EUR,SBD,49.81
USD,GHS,3442.73
CHF,TWD,389.19
BGN,EUR,1881.68
CHF,LKR,4320.71
AED,GBP,34.87
VES,CHF,61.47
CAD,HKD,487.01
LKR,EUR,110.03
ETB,AUD,45579.82
CAD,KRW,35369.1
MAD,CNY,35902.99
TND,GBP,236.93
JPY,EUR,4720.48
LBP,EUR,343909.12
MXN,AUD,1622.21
VUV,USD,457711.8
WST,TOP,386.86
TWD,AUD,4876.33
MAD,CHF,123.01
USD,PKR,33152.5
MDL,AMD,46995.52
JPY,AUD,498.96
EUR,TND,10.26
MXN,JPY,4752.41
HRK,AUD,3828.93
AED,TOP,401.36
MDL,GBP,281838.67
INR,UZS,399.87
CAD,AUD,187369.4
BYN,SEK,358.62
GEL,CAD,118.34
CNY,VUV,658.99
EUR,CHF,164.66
COP,USD,261.02
TZS,JPY,812.38
WST,CAD,41.38
AUD,TZS,378.07
BHD,JPY,23.27
SEK,GBP,2788.2
CNY,DKK,31667.43
CAD,PYG,730.58
CNY,KES,1956.43
GBP,ALL,37047.15
MAD,COP,93484.86
BDT,CNY,32.49
GHS,BRL,23.33
PKR,JPY,16.55
VUV,BHD,266894.65
PHP,TND,2140.24
ZAR,GEL,37294.76
EGP,PLN,428.79
OMR,USD,31.99
BOB,JPY,14449.47
BGN,LBP,19259.74
USD,UYU,13.23
ALL,SAR,48.99
IDR,TOP,3783.91
AUD,FJD,5809.38
VUV,INR,1962.38
CAD,ILS,3790.12
EUR,DZD,32.39
CNY,EUR,122.28
EUR,CHF,3670.07
BOB,EUR,30983.0
MYR,TND,26.63
CAD,AUD,6403.39
LBP,CAD,223.89
EUR,ETB,1023.98
BOB,JPY,485080.07
COP,EUR,2142.18
PGK,CHF,11219.51
MXN,BDT,459.6
CNY,PLN,1232.75
UYU,GBP,12429.09
INR,EUR,934.08
USD,KES,3131.2
MDL,CAD,347.05
KWD,UAH,229.83
FJD,GBP,41405.73
RSD,CNY,192.61
UAH,EUR,427.45
GBP,LBP,21510.09
AZN,EUR,13395.88
NGN,GBP,4430.53
USD,TND,36058.83
THB,AUD,3517.91
UGX,NZD,51.3
PEN,LKR,4013.82
ALL,CAD,48326.14
USD,BHD,2911.35
SBD,PEN,35445.18
EUR,KWD,7.95
TMT,AUD,169685.7
GBP,BYN,345.43
USD,MYR,2303.45
BGN,CHF,46647.84
USD,TMT,498.35
USD,UYU,704230.44
WST,CAD,415.3
IDR,USD,1410.32
JOD,UAH,24.71
ALL,JPY,216.96
CHF,TRY,197033.9
SAR,USD,4993.39
ETB,CNY,3711.14
KZT,BYN,289.64
AUD,RUB,253.36
KES,USD,963636.58
GHS,KWD,3.05
KZT,AUD,297.75
CAD,CNY,489132.47
BOB,GBP,14082.71
USD,AMD,2291.85
OMR,EUR,17.86
CAD,TZS,97.12
ZAR,CAD,4191.72
PLN,CHF,3653.21
SGD,JPY,35.16
INR,AZN,198.13
ILS,LBP,139.58
USD,NGN,4467.75
BGN,JPY,24.32
CHF,JOD,29.48
CNY,TMT,3480.24
ARS,CHF,11.65
ETB,CHF,30431.5
TRY,CHF,14.85
TWD,GBP,46.55
RON,USD,305.13
FJD,GBP,2516.38
CAD,ARS,35051.01
LBP,GBP,134.61
CNY,VES,133.09
CNY,NGN,380.19
JPY,ILS,2562.64
PEN,EUR,195.73
RSD,EUR,35788.79
CNY,GBP,43.09
CHF,TMT,44.93
CHF,AUD,3648.35
AUD,KRW,347.35
USD,CHF,10.98
OMR,CNY,29.55
EUR,RUB,330.81
ILS,MAD,106617.67
GBP,TND,26571.09
USD,VUV,125.29
CNY,TND,438.73
USD,JPY,474830.77
BYN,TZS,184111.71
VES,ZAR,4498.0
AUD,KZT,28.8
PKR,CNY,12.89
AUD,PYG,45.96
ILS,AUD,295.11
EGP,CNY,17543.68
ZAR,DKK,245.32
CAD,RON,1096.62
JPY,AMD,47.29
USD,CHF,3965.55
AUD,ILS,42.05
CHF,GHS,730.14
GBP,LKR,80.11
CAD,SGD,161.34
COP,CNY,9.55
QAR,CHF,2447.83
EUR,USD,4053.57
COP,CNY,29.74
UGX,CAD,388.01
TWD,INR,11.54
PLN,CNY,3022.79
UGX,AUD,3351.24
AMD,JPY,57.06
UZS,GBP,31697.76
CHF,TRY,3797.48
EUR,RUB,16.14
MKD,AED,44926.69
TOP,AUD,48.04
AUD,TND,4589.86
BRL,RON,2.77
VUV,AED,520.86
JPY,IRR,290.28
RUB,QAR,902492.47
CNY,CZK,387535.86
KRW,PLN,37.94
CHF,UYU,723.25
EUR,SEK,36.4
TWD,CHF,3399.87
COP,USD,410.18
SEK,QAR,49286.93
TZS,EUR,7838.49
IDR,JPY,436.77
JOD,UZS,38.71
JOD,SBD,494.73
NZD,CNY,90.88
UYU,JPY,37.64
DKK,AUD,48.0
USD,ILS,33.61
VUV,GBP,49.84
BYN,USD,99.22
CAD,RON,39.04
AUD,GBP,363.43
VUV,USD,7.2
IDR,USD,396.23
VUV,EUR,476.59
USD,OMR,4910.32
MAD,USD,7905.38
JPY,BHD,16258.47
EUR,INR,2088.15
USD,MDL,48025.42
USD,KWD,479.29
MAD,JPY,46471.68
CLP,CAD,18806.82
CNY,IRR,1416.37
SAR,EUR,34342.27
GBP,TWD,46.66
JOD,CAD,498.71
VES,NZD,403.5
EUR,SEK,46179.44
EUR,PLN,44.81
PGK,CAD,17907.17
CHF,VND,3427.18
PLN,USD,39471.43
SGD,AUD,3324.21
IRR,BOB,664.59
GHS,EUR,339.83
COP,JPY,13.15
AUD,CAD,410.57
AUD,SGD,48.47
CHF,SGD,258.77
CNY,TOP,133.34
CAD,CHF,17150.21
CNY,ETB,475496.75
GBP,DKK,123.77
VES,AMD,7.13
COP,CAD,18.59
AUD,IDR,89.76
AUD,QAR,480.66
AUD,VND,142.27
CHF,CNY,428242.92
ZAR,USD,355.9
CNY,FJD,382.42
OMR,KZT,15344.08
SEK,TMT,164442.07
CAD,AED,284.7
BGN,CNY,16.0
CHF,ARS,16166.64
UGX,AUD,6.11
MDL,JPY,4784.84
LBP,DKK,25367.27
CAD,EUR,36.36
TND,AUD,37274.23
NGN,EGP,17528.37
DKK,CZK,19.47
CAD,AZN,1774.15
CLP,JOD,317214.27
JPY,CAD,4305.02
ARS,IRR,43.54
MYR,CHF,4196.06
AUD,RUB,27.8
CAD,TND,187.88
JPY,CNY,451.13
ALL,DZD,3508.29
UYU,CAD,307.18
DKK,NZD,3159.03
GBP,RON,363.84
GBP,THB,37800.99
UGX,SEK,42954.0
ILS,PEN,4081.7
ILS,HUF,243886.46
CNY,BYN,4435.79
EUR,CLP,4.36
IDR,AUD,6297.94
ALL,EUR,405.87
CHF,PKR,27.77
LBP,JPY,286.78
FJD,KES,24728.55
AZN,CAD,75177.52
KZT,BOB,3679.09
GBP,AED,30576.69
ILS,BOB,3253.5
CHF,GHS,26.78
CAD,HUF,489.23
USD,NGN,602.39
CAD,THB,31426.0
MAD,KZT,287.68
ETB,EUR,1085.48
JPY,ILS,27.33
HRK,EUR,2478.94
JPY,CZK,8.02
AUD,BYN,38606.02
USD,EUR,19.77
EUR,VND,16681.59
AUD,VND,21642.39
CHF,UAH,33.77
SGD,GBP,24512.8
AUD,BRL,25.81
UZS,CHF,147877.67
CNY,CZK,3024.84
OMR,USD,26.61
IRR,EUR,58.0
PHP,PLN,95.75
EUR,INR,412951.87
CHF,FJD,145.09
PLN,MDL,4801.97
ARS,DKK,21.4
GBP,PYG,49942.26
USD,HKD,436.42
UZS,ILS,962835.24
UGX,EUR,760.34
AED,WST,25.33
HRK,CAD,11.96
CNY,ILS,22.3
JPY,EGP,27.51
FJD,INR,2781.88
KZT,BOB,9824.81
AUD,USD,26.8
KZT,GBP,15692.29
MAD,RSD,19.27
GBP,ARS,4507.58
AUD,PHP,169.69
SBD,RON,31221.2
CNY,MYR,1164.87
GBP,LKR,457140.31
USD,FJD,25.11
AUD,THB,2353.21
AZN,CNY,3059.51
CAD,TRY,183.44
TWD,CHF,3473.11
PEN,JPY,5137.21
JPY,AUD,474.26
JPY,CAD,22.23
CNY,USD,282.4
UYU,MYR,9093.82
AUD,KES,1824.9
CAD,CZK,45.75
VND,SGD,2044.5
EUR,PGK,10.2
LBP,MXN,166.27
JPY,USD,4.39
JPY,AZN,425.55
UAH,CAD,337.47
EUR,NZD,4.66
FJD,KZT,394.21
ZAR,THB,4802.51
CAD,GBP,13191.91
UGX,GBP,396.88
JPY,WST,287.15
IRR,MDL,997.19
JPY,UYU,43908.87
RSD,GBP,34800.18
KWD,MDL,14.15
ILS,GBP,98.87
USD,CNY,3537.41
AZN,CAD,168204.43
GBP,JPY,58.54
EUR,DZD,105.15
JOD,USD,2119.16
UAH,PEN,332013.16
USD,WST,24.66
GBP,VUV,8.72
CAD,EUR,454.77
ILS,THB,2417.07
TMT,CHF,24.1
AZN,AUD,40981.36
PEN,USD,4542.18
KWD,SEK,4089.39
CHF,DKK,35.9
SAR,JPY,331.94
AUD,DKK,1.92
RUB,OMR,257.28
IRR,FJD,24413.01
GBP,UZS,27564.64
NGN,KWD,1.17
SEK,GBP,454.54
SBD,CNY,119.05
BGN,LKR,100.66
CNY,CHF,632473.4
IRR,AUD,698.01
TOP,MXN,16.68
GBP,SBD,29.43
GBP,CZK,17.28
IDR,EUR,33051.33
JPY,VND,2429.29
AMD,ZAR,28.99
UYU,WST,31712.83
INR,CAD,182861.65
TOP,AUD,312.51
EUR,WST,99961.86
RUB,AUD,2384.44
BDT,ALL,339207.1
CAD,BHD,370.41
AMD,ALL,11281.15
AED,JPY,28223.6
RSD,SBD,34527.15
MAD,EUR,780.2
AUD,EUR,406.31
CNY,DZD,2.86
BHD,VES,22.45
CNY,AZN,566.22
VES,UAH,242.82
GBP,ETB,43.72
AUD,UYU,4215.48
EUR,VND,177.36
TOP,GBP,39184.37
CNY,ETB,27135.83
LBP,MKD,18.39
HRK,GBP,4093.52
MAD,ETB,4184.08
AUD,DKK,4929.35
QAR,AUD,86.85
HKD,JPY,11805.41
MDL,HUF,49.85
JPY,BGN,38763.45
TMT,OMR,187.76
PYG,HUF,30255.26
CAD,TZS,37.62
BYN,BGN,131.86
AED,EUR,15.76
VUV,ZAR,306.41
USD,GEL,3061.03
SBD,HUF,420682.78
CNY,CHF,319.68
CNY,GEL,15467.4
ILS,NGN,353.87
TMT,JPY,2102.13
ZAR,USD,34538.51
TND,CAD,273.82
CNY,MKD,45.24
RUB,AUD,42139.83
PKR,CHF,467.01
GBP,TOP,28405.99
ALL,CNY,355.61
GBP,PYG,69.56
PLN,CHF,11.95
MXN,EUR,4209.47
HUF,CAD,204.77
AUD,VUV,345.67
AZN,IDR,140.38
JPY,UAH,303.18
BRL,CAD,12.4
MXN,DKK,4038.24
DZD,AUD,46.47
CNY,AZN,1610.37
TWD,ETB,4097.67
TRY,JPY,3319.31
TOP,GBP,666.88
JPY,UZS,2074.84
USD,MKD,3283.4
CNY,AMD,284.51
KRW,CHF,254.42
HRK,JPY,473.3
VES,AUD,46145.94
EUR,TRY,117.5
USD,KZT,76.93
GBP,SGD,48.51
CNY,USD,13618.48
AUD,VUV,23.34
WST,CNY,991.32
ALL,EUR,386.18
CAD,SGD,37.72
UYU,CNY,353.57
USD,VES,388.39
BDT,BHD,7016.37
CHF,ALL,20714.4
RUB,USD,4228.31
JPY,CAD,429641.93
CAD,JPY,33.21
JPY,HRK,36.03
PGK,JPY,224219.76
UGX,GHS,30.65
BHD,AUD,1160.41
GBP,PGK,147.03
MDL,USD,180.62
GEL,AUD,2484.39
MXN,CAD,240.11
CNY,DKK,34193.91
OMR,TRY,8.67
ETB,CAD,403.39
MAD,GBP,175.78
ETB,USD,526429.15
CAD,CLP,3228.87
KWD,CAD,3940.7
USD,AED,98334.63
AUD,USD,326.72
GBP,AED,3744.09
USD,SGD,3599.62
SBD,USD,340.27
GBP,PGK,480.39
PHP,KRW,18.02
SAR,KZT,15603.43
USD,RSD,1394.31
INR,EUR,23.69
CNY,PEN,5.21
AUD,CAD,2462.9
JPY,ETB,669867.8
CHF,AZN,10328.73
CAD,MXN,38.74
USD,INR,4600.07
HUF,TWD,14.85
UAH,KRW,15413.7
SBD,GBP,2008.97
CHF,TWD,4561.97
GBP,DKK,4198.15
KRW,CNY,419.05
CAD,WST,33455.19
KES,UAH,321.98
CHF,HRK,8111.96
WST,GBP,459696.56
KWD,CAD,10.88
DZD,CHF,181.98
UGX,AMD,31892.69
GBP,AUD,4720.09
IDR,GBP,302.88
USD,BDT,2996.92
SGD,OMR,23.1
SGD,PHP,173.57
EUR,AED,48.17
AUD,BGN,451516.49
LBP,MAD,33.72
CHF,MKD,6.03
EUR,VUV,288571.47
NOK,JPY,35604.33
SEK,DKK,63.44
PLN,AUD,1942.69
EUR,MXN,497.9
LBP,AUD,1041.95
USD,BRL,44.82
AED,USD,32457.37
AUD,ALL,286136.85
JPY,TWD,46168.94
VES,PLN,42.32
KRW,CNY,202.36
JPY,KWD,43809.74
CAD,BDT,498.87
EGP,CHF,27.06
CAD,UZS,43.73
CHF,COP,120.61
IDR,MDL,309.62
PEN,CNY,47.17
PGK,CHF,25051.3
GBP,KZT,1902.62
UZS,GBP,706.86
USD,COP,1775.19
AUD,CNY,404.99
MAD,BRL,35.0
CHF,TMT,1450.03
CNY,GBP,57875.09
AUD,QAR,39.85
CAD,AUD,19.59
EUR,THB,14438.77
KES,HUF,1515.72
CHF,JOD,6937.33
AUD,TZS,43118.84
RON,USD,1806.54
AED,CHF,16.32
UAH,JPY,10.97
INR,UZS,36.76
TZS,TMT,10582.49
JPY,BRL,22.19
JPY,COP,191.64
JPY,EGP,1591.45
RON,LKR,1655.33
PHP,AUD,71.85
USD,BYN,4634.46
BOB,JPY,318.75
UYU,MAD,9.28
QAR,ILS,40.99
AZN,CAD,2.41
UGX,BYN,87.2
FJD,CAD,269.5
QAR,TWD,454.19
NZD,EUR,12.75
SEK,TOP,47133.25
CHF,EUR,2.46
JPY,ZAR,46196.02
JPY,AED,910.84
GBP,IDR,392.65
INR,DKK,2.03
UAH,AUD,26613.59
HRK,CAD,270314.21
CHF,CLP,167.0
AUD,HRK,42.63
JPY,UGX,7298.15
PHP,CAD,482504.64
CNY,BGN,256.07
NGN,AED,7.26
VND,NZD,456332.99
USD,AUD,45.19
NGN,UYU,25.27
UGX,MKD,22.79
AMD,LBP,242559.69
CHF,BHD,20906.69
CAD,ETB,1325.1
DKK,TOP,47767.43
EUR,GBP,26962.11
GBP,VND,2556.46
USD,PLN,19139.17
GBP,ETB,415.94
DKK,GBP,33424.2
CNY,BHD,31.2
MYR,CNY,19.35
AUD,TND,307.1
TND,JPY,450.77
WST,DKK,368313.2
CHF,DZD,21.95
USD,JPY,18.59
BRL,USD,36.7
PHP,EUR,229.53
BGN,UZS,46.43
OMR,EUR,49.57
BOB,AUD,402.97
CAD,DKK,124.83
PKR,BOB,35.69
EUR,RSD,7.42
CLP,EUR,169.54
ETB,HRK,41.69
CHF,KES,93.52
AUD,PHP,2596.85
KES,DKK,310.94
SEK,EUR,455.24
KRW,EUR,39.3
CHF,CAD,40.81
EUR,AZN,2081.9
AUD,JPY,3615.56
LBP,CHF,37.4
BRL,CHF,335.89
JPY,VND,203263.83
AZN,GBP,270735.37
NZD,THB,3054.99
TOP,USD,9181.97
HRK,CHF,144.28
EUR,ETB,8.48
EUR,SEK,42.72
CNY,BRL,25350.36
KRW,JPY,2917.93
PKR,JPY,263.82
CZK,AUD,412.21
BHD,CLP,118.9
CAD,IRR,79.81
CAD,EGP,440.53
ARS,CHF,33641.35
GBP,GHS,124.5
JOD,MXN,295.31
CHF,PKR,3375.12
CZK,TRY,656378.1
TMT,CHF,44.99
ILS,CHF,382.51
LBP,CAD,17610.26
CHF,UYU,2640.19
AMD,USD,2998.15
SEK,IDR,22735.05
CNY,MAD,6.93
RUB,BDT,1611.53
JPY,CAD,8636.77
INR,WST,42.02
CNY,HUF,43.1
CAD,VUV,35903.38
EUR,CHF,481.53
JPY,PKR,344.44
SEK,FJD,3130.79
CAD,PYG,81.87
DKK,GBP,1757.29
KES,EUR,1123.5
UAH,EUR,342.07
MAD,CHF,377.18
JPY,VES,3334.52
CHF,JPY,2881.63
BDT,CHF,323.39
OMR,EUR,3903.01
EUR,DZD,8.68
JPY,TOP,204.7
HKD,BHD,45.55
HRK,CNY,7.66
RON,GBP,147.27
CNY,AZN,17197.46
UAH,EUR,204.95
TMT,INR,480646.14
CNY,PKR,128.56
HRK,USD,162.04
GBP,LKR,32.52
NZD,USD,331.76
CAD,SAR,19274.01
ALL,AUD,30.94
VND,GBP,388.34
GBP,MXN,399.61
CZK,LKR,354.93
ALL,NZD,2118.8
THB,USD,20.38
CAD,SBD,265.82
QAR,GHS,30288.23
CHF,NGN,2213.05
JPY,MYR,18448.68
CNY,INR,33217.14
VES,AUD,407.12
CHF,CNY,1070.13
GBP,CHF,462.11
JPY,RSD,47.82
CHF,CNY,3720.14
CNY,RSD,15.39
AZN,EUR,2.66
PHP,BHD,11923.72
UYU,SAR,21.92
PGK,EUR,1462.72
TRY,GBP,1986.12
HKD,DKK,302635.74
PHP,JPY,200.28
CHF,INR,452749.82
ZAR,EUR,177091.92
JPY,ILS,942.68
OMR,CHF,3025.93
UZS,GBP,216.26
ILS,CAD,475.16
SEK,JPY,46820.44
TZS,NGN,25187.38
DKK,CAD,4196.46
UYU,USD,486.83
AUD,LKR,32162.2
USD,NOK,35671.13
TZS,USD,155266.81
JPY,BHD,982.02
UYU,CHF,2345.76
CNY,UYU,42.49
MYR,GHS,249.5
USD,MKD,499.48
ALL,HKD,379.31
CHF,PGK,1.92
BDT,AUD,412.81
BRL,VUV,26.5
KWD,EUR,44107.97
CHF,PHP,11.4
TOP,GBP,2.53
AUD,VND,884.16
BRL,CNY,4753.17
PYG,CNY,39.96
PGK,JPY,1.33
TRY,TZS,10480.51
CLP,EUR,22.33
CHF,USD,4099.23
AUD,TZS,450.47
GBP,COP,159.68
AUD,EUR,51.69
CHF,TRY,46.57
COP,RON,301280.16
COP,GBP,4246.27
UAH,JPY,440.98
EUR,HUF,303.89
IRR,BRL,77.14
VUV,GBP,451.39
MKD,EUR,1324.28
VND,PGK,498.66
FJD,AZN,76.67
EUR,VES,242.8
FJD,EUR,35.92
OMR,CAD,43758.21
ETB,JPY,47.14
SEK,TMT,469.33
USD,TOP,22864.8
CNY,KRW,2894.96
USD,SEK,2.84
JPY,EUR,2083.02
TND,INR,1521.29
AUD,BOB,147.72
JPY,RSD,3675.72
EUR,LBP,24.33
CNY,HKD,444.52
GBP,MKD,396.25
LKR,GBP,372.96
QAR,JPY,39.41
EUR,UYU,10.91
UAH,JPY,191.21
CHF,VND,28.38
IDR,CNY,2454.7
ARS,GBP,26.58
GBP,BDT,36.97
USD,SBD,37.02
LKR,CHF,16808.6
AZN,MYR,43.49
BYN,CNY,1028.48
WST,VND,4.01
EUR,TWD,3124.47
UAH,JPY,39747.89
UAH,EUR,25.01
UYU,TOP,4272.23
HKD,PKR,318.27
ALL,PKR,998.48
VES,VND,2266.66
CHF,UGX,342.15
TOP,TND,64.44
BRL,CHF,274.58
GBP,IRR,25291.51
KRW,BOB,47036.77
CNY,BGN,226.72
JPY,GBP,174.73
CNY,RSD,25976.14
UYU,SEK,41.24
CAD,OMR,3080.4
SBD,NGN,7.23
DKK,TND,46829.37
KWD,PEN,3114.52
USD,IRR,6223.32
AUD,VND,3145.1
JPY,CHF,368716.69
CHF,NGN,293.94
USD,MKD,27.12
OMR,CNY,2693.8
NZD,CAD,42.63
GBP,HUF,81.13
NOK,CHF,1799.02
BOB,CAD,17298.02
MKD,PLN,361.68
FJD,QAR,1567.23
BHD,ARS,393.88
AZN,GBP,239.36
AUD,IRR,240.11
AUD,HRK,3088.53
RSD,EUR,20582.31
TOP,EUR,45.31
SEK,CNY,482229.92
OMR,JPY,3254.3
RSD,EUR,140.0
NGN,TWD,14122.73
KZT,AUD,7.32
CAD,BRL,361.42
UYU,CHF,201.27
GBP,PHP,47265.0
USD,CZK,3546.84
MDL,MYR,202.92
DZD,CHF,3542.37
CNY,PGK,213.07
MKD,CNY,515.26
UYU,QAR,1092.86
JPY,NGN,152.01
MAD,EUR,456.97
PHP,HRK,196.5
CAD,TZS,274.67
NGN,EGP,20930.51
CNY,VUV,416393.48
NGN,JPY,4292.04
HKD,JPY,451.89
THB,EUR,191.84
AUD,TOP,18278.41
EUR,NOK,2214.42
BOB,GBP,214610.72
KRW,LKR,3.58
JPY,USD,6867.04
CNY,EUR,2.39
USD,MYR,574.02
JPY,HRK,536743.34
IRR,CAD,146.35
AUD,DKK,817.59
CHF,EGP,2772.72
DZD,CNY,1832.37
CNY,DZD,32905.15
CNY,PGK,1825.78
USD,GBP,5402.03
AUD,ILS,4734.01
GBP,FJD,3006.83
KRW,OMR,406.81
CAD,RSD,6.31
EUR,AUD,35318.1
TOP,GBP,30406.29
GBP,BOB,1296.6
AUD,PHP,4109.9
TZS,JPY,639.96
JPY,AED,218.12
CNY,MAD,28581.47
NZD,COP,22418.04
MYR,CAD,204.77
ETB,JPY,2299.21
JPY,CZK,485.67
NZD,THB,34171.01
PYG,AUD,41000.55
SEK,CAD,20.73
EUR,CHF,447.03
CHF,EGP,48.84
CHF,COP,3175.18
BYN,USD,18.57
CNY,JPY,1.49
TZS,CNY,33.7
EUR,PLN,241.44
MKD,BYN,340.13
JPY,HUF,9198.39
GEL,GBP,944.78
PGK,AUD,42.88
CNY,TZS,1841.32
TMT,BOB,4109.68
JPY,GBP,29.23
JPY,USD,895.56
JPY,TMT,46838.88
HKD,CNY,4516.11
BOB,KZT,39.29
BOB,CAD,18.15
GBP,MAD,421.54
CAD,ZAR,2071.78
SAR,CZK,401.86
BDT,UGX,20.89
GBP,GHS,216.55
ETB,USD,2456.76
JPY,BHD,9.89
CAD,ALL,3209.79
SEK,TOP,204130.73
SBD,BHD,440.88
TWD,GBP,594.78
JPY,SEK,10.15
USD,CHF,110.92
THB,ARS,44.57
AED,LBP,42.91
AUD,USD,398.8
CAD,JOD,1092.09
USD,CLP,22720.98
AUD,BOB,13.88
JPY,NZD,23952.99
SAR,CHF,777.12
AMD,JPY,453.49
UYU,USD,411.4
CNY,PLN,33.53
TND,IDR,1715.53
MAD,THB,531627.17
GHS,GBP,48302.49
HUF,NOK,42465.94
VES,USD,4010.82
CHF,VUV,14.77
PKR,CNY,9.18
AMD,INR,281.69
ETB,IDR,260.15
RSD,JPY,46170.31
LKR,CAD,328.83
NOK,PGK,3352.79
KES,CNY,38.34
TRY,USD,32589.21
AUD,WST,2248.51
VUV,MKD,670.76
CHF,AZN,4281.49
JPY,EUR,10.05
SAR,AUD,46.51
BOB,CNY,180137.84
JPY,THB,2961.09
AUD,BRL,3355.79
JPY,ETB,1084.75
GBP,CHF,244.97
USD,MDL,134.32
QAR,NGN,23.1
IRR,USD,431.27
JPY,GBP,1407.26
CNY,UZS,40822.43
CLP,KWD,15.18
MDL,MAD,371.37
AMD,CHF,1562.75
EUR,PGK,182637.67
HUF,TOP,44.98
USD,IDR,1637.16
AUD,IRR,389.75
UAH,USD,1008.65
INR,JPY,115.31
TRY,VES,197.59
SAR,CNY,23.01
TRY,MXN,148.92
ARS,AUD,185617.75
JPY,KES,18.76
EUR,HRK,31.49
AUD,JPY,2772.89
JPY,EUR,196.15
ZAR,AED,1448.8
USD,AUD,4224.25
NZD,AUD,35.27
VUV,USD,2755.91
TZS,GBP,26677.98
QAR,VND,8.19
AUD,UZS,3853.16
FJD,PYG,4.79
JPY,SGD,32.99
BOB,JPY,1029.41
JPY,HKD,197.32
EUR,KWD,19.38
CAD,TWD,323553.35
JPY,BDT,3760.19
PEN,GBP,35652.61
ALL,AUD,2403.81
UAH,CNY,311792.11
COP,CAD,544409.77
USD,RSD,3.58
TZS,AMD,271.5
JPY,BDT,454.62
RON,USD,237.9
IDR,CNY,208.11
CZK,CNY,18412.57
AUD,BOB,442.96
BYN,ARS,272.97
MYR,AZN,3735.08
EUR,EGP,33.51
JPY,AUD,199.57
MDL,MAD,469.82
EUR,UGX,104650.32
BYN,PKR,271.69
AUD,BGN,1710.18
AUD,DKK,20.07
EUR,GEL,9.0
JPY,MXN,443.16
USD,GBP,41038.67
CNY,PKR,351.94
SGD,DZD,437.01
VUV,EUR,2988.41
LKR,HKD,3902.77
CNY,DZD,148.73
RSD,CAD,13.33
AUD,EUR,30674.62
JOD,CZK,221.45
LKR,VND,36.62
MDL,AUD,148.82
COP,HUF,198.23
AUD,AZN,2365.97
NOK,GBP,1496.32
ZAR,CHF,10.28
RUB,EUR,2771.41
VUV,RUB,27.0
KES,JPY,2045.24
CAD,MKD,4.81
ARS,MAD,36593.56
EUR,ALL,404729.8
SAR,CZK,86.4
JPY,ETB,390970.63
ZAR,AED,13577.42
VES,USD,195.6
VUV,TWD,3288.76
JPY,GEL,323.36
CNY,EUR,112.06
GBP,ZAR,1487.51
LBP,NOK,20953.51
